ODDS1,ODDS2,ODDS3,win,place,placeodd,rank,Band,PChange,,,,,,,%
2.9,2.3,2.2,869,423,1.1,1,1,-4%,,,,,,,
5,4.2,4.9,385,250,1.8,2,1,17%,,,,,,,
14,23,18,102,122,3.8,3,1,-22%,,,,,,,
4.2,4.6,5.7,334,265,1.7,4,0,24%,,,,,,,
9,7.9,7,272,252,1.8,5,0,-11%,,,,,,,
15,24,19,96,98,4.7,6,0,-21%,,,,,,,
20,39,50,38,46,10,7,0,28%,,,,,,,
16,19,14,130,133,3.5,8,0,-26%,,,,,,,
14,22,21,90,100,4.6,9,0,-5%,,,,,,,
5.8,4.8,6.7,263,201,2.7,1,1,40%,,,,,,,
21,13,11,147,161,3.4,2,1,-15%,,,,,,,
13,23,30,57,78,7.1,3,1,30%,,,,,,,
7.8,5.9,3.5,506,361,1.5,4,0,-41%,,,,,,,
9.8,7.8,7.4,238,226,2.4,5,0,-5%,,,,,,,
13,13,20,85,93,5.9,6,0,54%,,,,,,,
18,25,21,81,88,6.2,7,0,-16%,,,,,,,
15,23,39,44,47,11,8,0,70%,,,,,,,
41,60,86,20,28,19,9,0,43%,,,,,,,
8,8,6.5,268,270,2,10,0,-19%,,,,,,,
12,13,13,127,141,3.9,11,0,0%,,,,,,,
17,24,34,51,62,8.8,12,0,42%,,,,,,,
7.4,8.3,10,172,174,3.2,13,0,20%,,,,,,,
15,17,24,72,82,6.7,14,0,41%,,,,,,,
1.6,1.6,1.6,1119,317,1,1,1,0%,,,,,,,
9.8,8.1,8.1,217,193,1.6,2,1,0%,,,,,,,
28,40,50,35,48,6.6,3,1,25%,,,,,,,
4.4,3.9,3.9,453,242,1.3,4,0,0%,,,,,,,
11,8,8.8,200,205,1.5,5,0,10%,,,,,,,
14,29,35,49,74,4.3,6,0,21%,,,,,,,
14,19,28,62,72,4.3,7,0,47%,,,,,,,
20,20,8.5,241,224,2.7,1,1,-58%,,,,,,,
2.1,5.7,4.6,449,394,1.6,2,1,-19%,,,,,,,
7.2,3,4.2,490,323,1.9,3,1,40%,,,,,,,
29,32,34,60,76,8.1,4,0,6%,,,,,,,
10,6.1,6.2,332,266,2.3,5,0,2%,,,,,,,
26,25,39,52,60,10,6,0,56%,,,,,,,
15,15,17,118,144,4.3,7,0,13%,,,,,,,
10,7.1,7.8,263,228,2.7,8,0,10%,,,,,,,
